j,peak,objective,subj_0.1,subj_0.01,subj_0.001,subj_0.0001
51,0.278588415672036,0.0400677913160042,0.078,0.222,0.355,0.386
151,0.0480289201190622,0.0470338081282367,0,0.159,0.268,0.31
251,0.109479821967721,0.0282150129191238,0.005,0.063,0.181,0.407
351,0.0491075897884854,0.0426570760948641,0,0.07,0.28,0.371
451,0.0105956583868682,0.0502230621797448,0,0.006,0.221,0.725
551,0.0203359660275201,0.0673139168880063,0,0.107,0.404,0.764
651,0.0441246189276248,0.0289478990610956,0,0.021,0.525,0.898
751,0.00785890017250739,0.143054382117843,0,0,0.543,1.226
851,0.0135324394837553,0.134088022477722,0,0.105,0.465,1.135
951,0.0165339202007768,0.127127985317364,0,0.194,0.542,1.037
1051,0.0188852354922206,0.121517173674925,0,0.124,0.497,0.937
1151,0.0177226867611788,0.0841864333385512,0,0.029,0.398,0.848
1251,0.00801600816598477,0.127417040757843,0,0,0.724,0.748
1351,0.00550215319898608,0.134591584009159,0,0,0.626,0.648
1451,0.00701176613604156,0.0915930032174947,0,0,0.534,0.548
