t,x,L_x,f_x,L_y,f_y
0,4,-1.6,4.4,0,0
0.005,4.00839677218569,-1.60335870887427,4.40923644940426,0.000839677218568702,0
0.01,4.00562444308048,-1.60224977723219,4.40618688738853,0.00056244430804836,0
0.015,3.98443681029127,-1.59377472411651,4.3828804913204,-0.00155631897087283,0
0.02,3.99403063246571,-1.59761225298628,4.39343369571228,-0.000596936753429478,0
0.025,4.00037983510177,-1.60015193404071,4.40041781861194,3.79835101766979e-05,0
0.03,4.02978941309408,-1.61191576523763,4.43276835440349,0.00297894130940818,0
0.035,4.01747637096009,-1.60699054838404,4.4192240080561,0.00174763709600889,0
0.04,3.99306546991808,-1.59722618796723,4.39237201690989,-0.000693453008192013,0
0.045,3.98208393418368,-1.59283357367347,4.38029232760204,-0.00179160658163247,0
0.05,3.9788802990981,-1.59155211963924,4.37676832900791,-0.00211197009019004,0
0.055,3.94211388449012,-1.57684555379605,4.33632527293913,-0.00578861155098787,0
0.06,3.93132259325926,-1.5725290373037,4.32445485258519,-0.00686774067407392,0
0.065,3.90498107279077,-1.56199242911631,4.29547918006985,-0.00950189272092294,0
0.07,3.90134450930187,-1.56053780372075,4.29147896023206,-0.00986554906981285,0
0.075,3.9004643899132,-1.56018575596528,4.29051082890452,-0.00995356100868044,0
0.08,3.88444910052221,-1.55377964020888,4.27289401057443,-0.0115550899477793,0
0.085,3.90820158410208,-1.56328063364083,4.29902174251229,-0.00917984158979174,0
0.09,3.89545634368236,-1.55818253747294,4.2850019780506,-0.0104543656317638,0
0.095,3.89444207861927,-1.55777683144771,4.2838862864812,-0.0105557921380727,0
0.1,3.85723493515546,-1.54289397406218,4.242958428671,-0.0142765064844544,0
0.105,3.8293746325714,-1.53174985302856,4.21231209582855,-0.0170625367428595,0
0.11,3.8104094540456,-1.52416378161824,4.19145039945016,-0.0189590545954397,0
0.115,3.78991270807054,-1.51596508322822,4.1689039788776,-0.0210087291929458,0
0.12,3.78389683197691,-1.51355873279077,4.16228651517461,-0.0216103168023086,0
0.125,3.82012273374083,-1.52804909349633,4.20213500711492,-0.0179877266259167,0
0.13,3.83617213330776,-1.5344688533231,4.21978934663853,-0.0163827866692244,0
0.135,3.83490274093494,-1.53396109637398,4.21839301502844,-0.0165097259065058,0
0.14,3.79597221333153,-1.51838888533261,4.17556943466469,-0.0204027786668467,0
0.145,3.72945971687618,-1.49178388675047,4.1024056885638,-0.0270540283123815,0
0.15,3.71032461608484,-1.48412984643393,4.08135707769332,-0.0289675383915164,0
0.155,3.72458294283741,-1.48983317713497,4.09704123712116,-0.0275417057162586,0
0.16,3.69918392001212,-1.47967356800485,4.06910231201334,-0.0300816079987877,0
0.165,3.67205867516076,-1.4688234700643,4.03926454267684,-0.0327941324839239,0
0.17,3.65564098862601,-1.4622563954504,4.02120508748861,-0.0344359011373992,0
0.175,3.66227256428696,-1.46490902571478,4.02849982071565,-0.0337727435713042,0
0.18,3.67003098361513,-1.46801239344605,4.03703408197665,-0.0329969016384865,0
0.185,3.68074614320116,-1.47229845728047,4.04882075752128,-0.0319253856798837,0
0.19,3.6604584377808,-1.46418337511232,4.02650428155888,-0.03395415622192,0
0.195,3.68707517566692,-1.47483007026677,4.05578269323361,-0.0312924824333082,0
0.2,3.67296912753584,-1.46918765101434,4.04026604028942,-0.0327030872464161,0
0.205,3.64935117369779,-1.45974046947912,4.01428629106757,-0.0350648826302211,0
0.21,3.65742582324965,-1.46297032929986,4.02316840557462,-0.0342574176750349,0
0.215,3.67603518898321,-1.47041407559329,4.04363870788153,-0.0323964811016787,0
0.22,3.61865586296326,-1.4474623451853,3.98052144925959,-0.0381344137036739,0
0.225,3.6320058173148,-1.45280232692592,3.99520639904628,-0.0367994182685196,0
0.23,3.63623662180594,-1.45449464872238,3.99986028398653,-0.036376337819406,0
0.235,3.62953863788524,-1.45181545515409,3.99249250167376,-0.0370461362114763,0
0.24,3.59211135426906,-1.43684454170763,3.95132248969597,-0.0407888645730936,0
0.245,3.53410662976446,-1.41364265190578,3.8875172927409,-0.0465893370235543,0
0.25,3.51291676752456,-1.40516670700983,3.86420844427702,-0.0487083232475436,0
0.255,3.51967471813217,-1.40786988725287,3.87164218994539,-0.0480325281867831,0
0.26,3.50535822679323,-1.40214329071729,3.85589404947256,-0.0494641773206769,0
0.265,3.46556662580535,-1.38622665032214,3.81212328838589,-0.0534433374194649,0
0.27,3.44059170877968,-1.37623668351187,3.78465087965765,-0.0559408291220315,0
0.275,3.46497904954277,-1.38599161981711,3.81147695449705,-0.0535020950457227,0
0.28,3.46187841733659,-1.38475136693464,3.80806625907025,-0.0538121582663406,0
0.285,3.4675902382505,-1.3870360953002,3.81434926207556,-0.0532409761749496,0
0.29,3.50048505523071,-1.40019402209228,3.85053356075378,-0.0499514944769291,0
0.295,3.50351434638969,-1.40140573855588,3.85386578102866,-0.0496485653610309,0
0.3,3.47609090457012,-1.39043636182805,3.82369999502713,-0.0523909095429884,0
0.305,3.4474098514464,-1.37896394057856,3.79215083659104,-0.0552590148553603,0
0.31,3.45821700721599,-1.3832868028864,3.80403870793759,-0.0541782992784011,0
0.315,3.45131119184496,-1.38052447673798,3.79644231102946,-0.0548688808155041,0
0.32,3.42139932475007,-1.36855972990003,3.76353925722508,-0.0578600675249928,0
0.325,3.40653009354393,-1.36261203741757,3.74718310289833,-0.0593469906456066,0
0.33,3.39150270345708,-1.35660108138283,3.73065297380279,-0.0608497296542923,0
0.335,3.3960553614544,-1.35842214458176,3.73566089759984,-0.0603944638545602,0
0.34,3.41099610289527,-1.36439844115811,3.7520957131848,-0.0589003897104731,0
0.345,3.38357514736329,-1.35343005894532,3.72193266209962,-0.0616424852636712,0
0.35,3.36874495001565,-1.34749798000626,3.70561944501722,-0.0631255049984346,0
0.355,3.33915333009784,-1.33566133203914,3.67306866310762,-0.0660846669902161,0
0.36,3.33228999924647,-1.33291599969859,3.66551899917111,-0.0667710000753533,0
0.365,3.31323743749614,-1.32529497499846,3.64456118124576,-0.0686762562503859,0
0.37,3.28550203616153,-1.31420081446461,3.61405223977768,-0.0714497963838471,0
0.375,3.27773557723612,-1.31109423089445,3.60550913495974,-0.0722264422763875,0
0.38,3.2521666572757,-1.30086666291028,3.57738332300327,-0.0747833342724297,0
0.385,3.2596588921082,-1.30386355684328,3.58562478131902,-0.0740341107891803,0
0.39,3.27350603248873,-1.30940241299549,3.6008566357376,-0.0726493967511275,0
0.395,3.28453255210864,-1.31381302084346,3.6129858073195,-0.0715467447891361,0
0.4,3.28085582331317,-1.31234232932527,3.60894140564448,-0.0719144176686833,0
0.405,3.28647535698672,-1.31459014279469,3.6151228926854,-0.0713524643013275,0
0.41,3.25423261208701,-1.3016930448348,3.57965587329571,-0.0745767387912995,0
0.415,3.25233840556006,-1.30093536222403,3.57757224611607,-0.0747661594439936,0
0.42,3.20608277049995,-1.28243310819998,3.52669104754994,-0.0793917229500052,0
0.425,3.18491659120864,-1.27396663648346,3.5034082503295,-0.0815083408791362,0
0.43,3.14089391678633,-1.25635756671453,3.45498330846496,-0.085910608321367,0
0.435,3.12715022292467,-1.25086008916987,3.43986524521714,-0.0872849777075331,0
0.44,3.09228094224032,-1.23691237689613,3.40150903646435,-0.0907719057759678,0
0.445,3.06915141505139,-1.22766056602056,3.37606655655653,-0.093084858494861,0
0.45,3.09347413122105,-1.23738965248842,3.40282154434316,-0.0906525868778947,0
0.455,3.09339694013829,-1.23735877605531,3.40273663415211,-0.0906603059861715,0
0.46,3.09065864188428,-1.23626345675371,3.39972450607271,-0.0909341358115718,0
0.465,3.04116118853362,-1.21646447541345,3.34527730738698,-0.0958838811466382,0
0.47,3.06221874346963,-1.22488749738785,3.3684406178166,-0.0937781256530367,0
0.475,3.06146959490102,-1.22458783796041,3.36761655439112,-0.0938530405098984,0
0.48,3.04267299342171,-1.21706919736868,3.34694029276388,-0.0957327006578288,0
0.485,3.07564610452843,-1.23025844181137,3.38321071498127,-0.0924353895471573,0
0.49,3.09823582986061,-1.23929433194425,3.40805941284667,-0.0901764170139387,0
0.495,3.04370517712563,-1.21748207085025,3.34807569483819,-0.0956294822874373,0
0.5,3.06831171122383,-1.22732468448953,3.37514288234621,-0.0931688288776172,0
0.505,3.03421274318713,-1.21368509727485,3.33763401750585,-0.0965787256812866,0
0.51,3.04904115363482,-1.21961646145393,3.3539452689983,-0.0950958846365181,0
0.515,3.02541196113974,-1.2101647844559,3.32795315725372,-0.0974588038860257,0
0.52,3.03110676946002,-1.21244270778401,3.33421744640602,-0.0968893230539981,0
0.525,3.01383884272934,-1.20553553709174,3.31522272700228,-0.0986161157270657,0
