index,t,objective,peak
1,0,0.575682046175418,0.124102482776559
2,0.005,0.574603731185174,0.124710888095227
3,0.01,0.573084761774069,0.125322824678673
4,0.015,0.572232713262716,0.125938290643547
5,0.02,0.570291205195726,0.126557345073376
6,0.025,0.568809822575987,0.127179953057924
7,0.03,0.566745448678993,0.127806070135883
8,0.035,0.565213957478874,0.128435720031635
9,0.04,0.563754852029543,0.129068899022981
10,0.045,0.561965643371983,0.129705710004177
11,0.05,0.560329529235407,0.130346116095434
12,0.055,0.558204292127379,0.130990133153319
13,0.06,0.556274202681308,0.131637743679619
14,0.065,0.554087362631505,0.132288942967635
15,0.07,0.55260439108846,0.132943736928928
16,0.075,0.550321706318255,0.1336021953872
17,0.08,0.547688156583467,0.134264333482152
18,0.085,0.544948338967404,0.134930052424229
19,0.09,0.543541910589823,0.135599323009182
20,0.095,0.541396878295716,0.13627229948757
21,0.1,0.539680840394824,0.136949040584196
22,0.105,0.537341900770221,0.13762951681746
23,0.11,0.53571820620361,0.138313733110429
24,0.115,0.533941805829162,0.139001709325881
25,0.12,0.53271939920126,0.139693526611031
26,0.125,0.53099871182633,0.140389239420868
27,0.13,0.52973249437146,0.141088866605533
28,0.135,0.52846763474257,0.141792411688929
29,0.14,0.528042356321181,0.142499948549108
30,0.145,0.527170508083604,0.143211618767168
31,0.15,0.526503731492784,0.143927493819077
32,0.155,0.525270859493759,0.144647536922033
33,0.16,0.524227472983722,0.145371718916797
34,0.165,0.522641834863584,0.146100012991769
35,0.17,0.521609734055596,0.146832388696998
36,0.175,0.520343816059894,0.147568872199657
37,0.18,0.519743447117887,0.148309521207505
38,0.185,0.51844328346012,0.14905443067641
39,0.19,0.51789862132321,0.149803582988546
40,0.195,0.515739591825288,0.150557044243526
41,0.2,0.514254151367944,0.151314692017515
42,0.205,0.511928850197806,0.152076422144345
43,0.21,0.50990733258044,0.152842271390213
44,0.215,0.507198217946335,0.153612182923958
45,0.22,0.505246734428624,0.154386131661873
46,0.225,0.502658508224409,0.155164153741057
47,0.23,0.50115771926473,0.15594626204879
48,0.235,0.498741926999594,0.156732536965048
49,0.24,0.497245318920724,0.157523003505602
