"dataset","quantity","n","max_abs","max_rel","rtol","atol","headroom","verdict"
"predprey_dir1","filter_mean",3001,6.57252030578093e-14,4.0246087057789e-14,1e-12,1e-12,40.7048812017643,"ok"
"predprey_dir1","filter_cov",3001,5.41233724504764e-16,5.28858264897994e-15,1e-12,1e-12,2036.71719519558,"ok"
"predprey_dir1","smoother_mean",3001,1.15463194561016e-14,4.62152722793133e-15,1e-12,1e-12,341.478678052498,"ok"
"predprey_dir1","smoother_cov",3001,8.32667268468867e-17,4.79907224339554e-15,1e-12,1e-12,12774.5501082749,"ok"
"predprey_dir1","ACI_metric",3001,6.55697718343617e-13,1.02560457064212e-12,1e-11,1e-12,18.7901427189738,"ok"
"predprey_dir1","E_j",3001,5.55111512312578e-16,5.68890106600822e-16,1e-12,1e-12,3559.24858834232,"ok"
"predprey_dir1","F_j",3001,5.83734449666196e-16,8.81200915120299e-14,1e-12,1e-12,1725.87353091825,"ok"
"predprey_dir1","online_mean(lag=Inf)",3001,3.19744231092045e-14,7.74148273973866e-15,1e-11,1e-12,1323.01720445332,"ok"
"predprey_dir1","online_cov(lag=Inf)",3001,1.20736753927986e-15,2.06136571094693e-14,1e-11,1e-12,1313.36348536855,"ok"
"predprey_dir1","cir_peak [reference conventions]",1201,1.21125331986605e-13,2.72806381392226e-13,1e-11,1e-12,46.3620677099909,"ok"
"predprey_dir1","cir_objective [reference conventions]",1201,3.29958282918597e-13,4.15013771158729e-13,1e-11,1e-12,27.1262721216303,"ok"
"predprey_dir1","cir_subjective [reference conventions]",616113,8.88178419700125e-16,2.20939905398041e-16,1e-11,1e-12,46387.0761619161,"ok"
"predprey_dir1","cir_objective_exact [reference conventions]",1201,3.30402372128447e-13,2.74325001564196e-13,1e-11,1e-12,42.3594721436411,"ok"
"predprey_dir1","cir_objective [aciR default -- by design]",1201,3.29958282918597e-13,1.30545602591918e-12,Inf,1e-12,Inf,"ok"
"predprey_dir2","filter_mean",3001,6.3948846218409e-14,7.47112818673006e-15,1e-12,1e-12,178.527872405987,"ok"
"predprey_dir2","filter_cov",3001,6.66133814775094e-15,5.2960983835072e-15,1e-12,1e-12,362.033614882966,"ok"
"predprey_dir2","smoother_mean",3001,5.50670620214078e-14,6.66376946763823e-15,1e-12,1e-12,207.666979272863,"ok"
"predprey_dir2","smoother_cov",3001,4.88498130835069e-15,4.99765927713161e-15,1e-12,1e-12,438.002109465374,"ok"
"predprey_dir2","ACI_metric",3001,3.68594044175552e-14,3.71398409936366e-12,1e-11,1e-12,230.826416260338,"ok"
"predprey_dir2","E_j",3001,5.10702591327572e-15,5.10189958111125e-15,1e-12,1e-12,391.81410529312,"ok"
"predprey_dir2","F_j",3001,2.5205532105943e-15,2.0018180472143e-11,1e-12,1e-12,401.082707322324,"ok"
"predprey_dir2","online_mean(lag=Inf)",3001,1.10134124042816e-13,1.09405662736257e-14,1e-11,1e-12,934.134826157363,"ok"
"predprey_dir2","online_cov(lag=Inf)",3001,3.28070903776734e-14,1.24364224920952e-13,1e-11,1e-12,110.890191937609,"ok"
"predprey_dir2","cir_peak [reference conventions]",1201,1.4432899320127e-13,3.24073872418824e-13,1e-11,1e-12,57.5542950272873,"ok"
"predprey_dir2","cir_objective [reference conventions]",1201,5.72653036101656e-13,4.5599023818936e-13,1e-11,1e-12,23.6765521288646,"ok"
"predprey_dir2","cir_subjective [reference conventions]",616113,1.77635683940025e-15,2.20939905398041e-16,1e-11,1e-12,45824.1262084948,"ok"
"predprey_dir2","cir_objective_exact [reference conventions]",1201,1.50013335087351e-12,3.23066785055012e-13,1e-11,1e-12,31.6548475249952,"ok"
"predprey_dir2","cir_objective [aciR default -- by design]",1201,0.000181350245971212,0.000199927638822295,Inf,1e-12,Inf,"ok"
