"dataset","quantity","n","max_abs","max_rel","rtol","atol","headroom","verdict"
"arbitrary_cross_noise","filter_mean",2001,5.10702591327572e-15,4.77303016011455e-15,1e-12,1e-12,414,"ok"
"arbitrary_cross_noise","filter_cov",2001,4.9960036108132e-16,4.93614339715056e-15,1e-12,1e-12,2200,"ok"
"arbitrary_cross_noise","smoother_mean",2001,4.88498130835069e-15,4.61333301209189e-15,1e-12,1e-12,421,"ok"
"arbitrary_cross_noise","smoother_cov",2001,4.85722573273506e-16,4.84545149398895e-15,1e-12,1e-12,2270,"ok"
"arbitrary_cross_noise","ACI_metric",2001,5.55111512312578e-16,8.55191045965537e-12,1e-11,1e-12,4010,"ok"
"arbitrary_cross_noise","E_j",2001,5.55111512312578e-16,5.57792712699924e-16,1e-12,1e-12,3590,"ok"
"arbitrary_cross_noise","F_j",2001,5.10702591327572e-15,3.4984489616324e-15,1e-12,1e-12,482,"ok"
"arbitrary_cross_noise","online_mean(lag=0)",2001,5.10702591327572e-15,4.77303016011455e-15,1e-11,1e-12,2300,"ok"
"arbitrary_cross_noise","online_cov(lag=0)",2001,4.9960036108132e-16,4.93614339715056e-15,1e-11,1e-12,4030,"ok"
"arbitrary_cross_noise","online_mean(lag=25)",2001,4.88498130835069e-15,4.82177144865903e-14,1e-11,1e-12,2280,"ok"
"arbitrary_cross_noise","online_cov(lag=25)",2001,4.9960036108132e-16,4.97699895706763e-15,1e-11,1e-12,4010,"ok"
"arbitrary_cross_noise","online_mean(lag=Inf)",2001,6.66133814775094e-15,7.5276181214922e-13,1e-11,1e-12,1750,"ok"
"arbitrary_cross_noise","online_cov(lag=Inf)",2001,4.9960036108132e-16,4.94623489660373e-15,1e-11,1e-12,4020,"ok"
"arbitrary_cross_noise","cir_peak (reported region)",751,9.28424004342787e-15,1.43258710594217e-13,1e-11,1e-12,202,"ok"
"arbitrary_cross_noise","cir_peak (reference guard region)",300,0.0173891725465815,0.173403943527381,1e-11,1e-12,1.15e-10,"EXCEEDS"
"arbitrary_cross_noise","cir_objective (reported region)",751,0.00426885454295822,0.0250366225139005,1e-11,1e-12,6.34e-10,"EXCEEDS"
"arbitrary_cross_noise","cir_subjective (reported region)",385263,1.162,0.658730158730159,1e-11,1e-12,1.6e-11,"EXCEEDS"
"dyad_reference_head","filter_mean",3001,4.88498130835069e-15,4.81722395404237e-15,1e-12,1e-12,412,"ok"
"dyad_reference_head","filter_cov",3001,4.9960036108132e-16,4.65258772624944e-15,1e-12,1e-12,2220,"ok"
"dyad_reference_head","smoother_mean",3001,4.88498130835069e-15,4.70414219383558e-15,1e-12,1e-12,417,"ok"
"dyad_reference_head","smoother_cov",3001,4.9960036108132e-16,4.84504643986346e-15,1e-12,1e-12,2220,"ok"
"dyad_reference_head","ACI_metric",3001,5.32907051820075e-15,3.84038392107415e-13,1e-11,1e-12,2600,"ok"
"dyad_reference_head","E_j",3001,5.55111512312578e-16,5.5707303502208e-16,1e-12,1e-12,3600,"ok"
"dyad_reference_head","F_j",3001,2.48065457064683e-16,2.20516910935928e-14,1e-12,1e-12,4080,"ok"
"dyad_reference_head","online_mean(lag=0)",3001,4.88498130835069e-15,4.81722395404237e-15,1e-11,1e-12,2280,"ok"
"dyad_reference_head","online_cov(lag=0)",3001,4.9960036108132e-16,4.65258772624944e-15,1e-11,1e-12,4150,"ok"
"dyad_reference_head","online_mean(lag=25)",3001,5.55111512312578e-15,4.81881322382891e-13,1e-11,1e-12,2230,"ok"
"dyad_reference_head","online_cov(lag=25)",3001,9.43689570931383e-16,4.67778167531471e-15,1e-11,1e-12,4140,"ok"
"dyad_reference_head","online_mean(lag=Inf)",3001,1.53210777398272e-14,4.16314828161398e-11,1e-11,1e-12,143,"ok"
"dyad_reference_head","online_cov(lag=Inf)",3001,4.82947015711943e-15,1.46260992540071e-14,1e-11,1e-12,891,"ok"
"dyad_reference_head","cir_peak (reported region)",1001,0.0657013103535637,0.311851580162777,1e-11,1e-12,4.73e-11,"EXCEEDS"
"dyad_reference_head","cir_peak (reference guard region)",600,0.388772842770216,0.347380155994511,1e-11,1e-12,3.14e-11,"EXCEEDS"
"dyad_reference_head","cir_objective (reported region)",0,NA,NA,1e-11,1e-12,NA,"EMPTY -- nothing compared"
"dyad_reference_head","cir_subjective (reported region)",213523,1.41,1,1e-11,1e-12,1.07e-11,"EXCEEDS"
