fun,quantity,same,maxabs,info
ref_pp_online_dir1,online_fixed_mean,1,0,cell[3001]
ref_pp_online_dir1,online_fixed_cov,1,0,cell[3001]
ref_pp_online_dir1,update_matrices_fixed,1,0,cell[2999]
ref_pp_cir_dir1,subjective_CIR,1,0,numeric[513 2201]
ref_pp_cir_dir1,approx_objective_CIR,1,0,numeric[1 2201]
ref_pp_cir_dir1,RE_metric,1,0,numeric[2201 2201]
ref_pp_cir_dir1,max_RE_metric,1,0,numeric[1 2201]
ref_pp_cir_dir1,eps_ord_values,1,0,numeric[1 513]
ref_pp_cir_dir1,epsilon_resolution,1,0,numeric[1 1]
ref_pp_cir_dir1,lookahead_tolerance,1,0,numeric[1 1]
ref_pp_cir_dir1,first_idx,1,0,numeric[1 1]
ref_pp_cir_dir1,last_idx,1,0,numeric[1 1]
ref_pp_cir_dir1,plot_len,1,0,numeric[1 1]
ref_pp_objective_cir_exact_dir1,defn_objective_CIR,1,0,numeric[1 1201]
