index,t,objective,peak
251,0.5,0.0918603462569003,0.0465443878967378
252,0.502,0.0907748214740677,0.047116900387681
253,0.504,0.0918092336690102,0.0476966851950249
254,0.506,0.0906815088643597,0.0482838318659798
255,0.508,0.0916417059253223,0.0488784309249023
256,0.51,0.0905963790602988,0.0494805738805763
257,0.512,0.0916015638757391,0.0500903532334975
258,0.514,0.0904319843527324,0.0507078624831021
259,0.516,0.0911957016763778,0.0513331961349588
260,0.518,0.0902783391991758,0.0519664497079401
261,0.52,0.0911513036576177,0.0526077197413091
262,0.522,0.0902014435217216,0.0532571038018182
263,0.524,0.0909840940431889,0.0539147004907006
264,0.526,0.0899457217502234,0.0545806094506408
265,0.528,0.0908412589250753,0.0552549313726706
266,0.53,0.08988435556574,0.0559377680030304
267,0.532,0.0906898628319124,0.0566292221499383
268,0.534,0.0896480860149577,0.0573293976903081
269,0.536,0.0904346383246113,0.0580383995763945
270,0.538,0.0893426345915299,0.0587563338423438
271,0.54,0.0899286309839412,0.0594833076107254
272,0.542,0.0886110040416584,0.0602194290988895
273,0.544,0.0889439365761729,0.0609648076253175
274,0.546,0.0874529829020985,0.0617195536158506
275,0.548,0.0878708634997897,0.0624837786098183
276,0.55,0.0863426814106466,0.0632575952660821
277,0.552,0.0870056630165987,0.064041117368963
278,0.554,0.0855697242952404,0.0648344598340685
279,0.556,0.0864163825739631,0.0656377387140171
280,0.558,0.0850540253681927,0.0664510712040298
281,0.56,0.0861156338422947,0.0672745756474003
282,0.562,0.0849148465104476,0.0681083715408604
283,0.564,0.0859981399707887,0.0689525795397815
284,0.566,0.0845406072245457,0.0698073214632784
285,0.568,0.0852706138910366,0.0706727202991462
286,0.57,0.0836707385872972,0.071548900208643
287,0.572,0.0841048865062823,0.0724359865311647
288,0.574,0.082989743776802,0.0733341057887164
289,0.576,0.0837335689437251,0.0742433856902355
290,0.578,0.0826670555083886,0.0751639551357825
291,0.58,0.0835231127335473,0.0760959442205048
292,0.582,0.082620657968403,0.0770394842384502
293,0.584,0.0834520162427368,0.0779947076862093
294,0.586,0.0822229513947798,0.078961748266342
295,0.588,0.0825529970457322,0.0799407408906216
296,0.59,0.0812238493042991,0.0809318216830743
297,0.592,0.0817620347297063,0.0819351279828251
298,0.594,0.0800632048851658,0.0829507983466901
299,0.596,0.0798137401148509,0.0839789725515961
300,0.598,0.0778388257132685,0.0850197915967646
301,0.6,0.0775049194090951,0.0860733977056203
302,0.602,0.0756326637903342,0.0871399343275211
303,0.604,0.0746873228689686,0.0882195461391994
304,0.606,0.0731269564530567,0.0893123790459561
305,0.608,0.0720435214515042,0.0904185801826398
306,0.61,0.0701376168544633,0.0915382979142749
307,0.612,0.0686774012946746,0.0926716818365131
308,0.614,0.0667553822002577,0.0938188827757394
309,0.616,0.0659907275472434,0.094980052788869
310,0.618,0.0640266935975999,0.0961553451629868
311,0.62,0.0632047466317237,0.0973449144144903
312,0.622,0.0611074275552151,0.0985489162880861
313,0.624,0.0612113812480857,0.0997675077553897
314,0.626,0.0595989155257683,0.101000847013206
315,0.628,0.0587832092316975,0.102249093481512
316,0.63,0.0566164326154736,0.103512407801078
317,0.632,0.0577380771428627,0.100172348671214
318,0.634,0.0560048037646281,0.101418386410041
319,0.636,0.0544026447922555,0.102679632621378
320,0.638,0.0526649961839042,0.103956254912788
321,0.64,0.0515226662471125,0.105248422268113
322,0.642,0.0500704121650225,0.106556305047631
323,0.644,0.0494747036360786,0.107880074988066
324,0.646,0.0479399473715227,0.109219905202134
325,0.648,0.0478476333729947,0.110575970177873
326,0.65,0.0465406268956213,0.111948445777587
327,0.652,0.0464840898207535,0.113337509236482
328,0.654,0.0450512746650564,0.114743339160931
329,0.656,0.0442910365124854,0.116166115526422
330,0.658,0.0418404246032483,0.117606019675131
331,0.66,0.0407962543363889,0.119063234313097
332,0.662,0.0382803984503519,0.120537943507059
333,0.664,0.0373322621542872,0.122030332680911
334,0.666,0.0354269140056475,0.123540588611733
335,0.668,0.0402143787307613,0.104893637994527
336,0.67,0.0398086960720339,0.101790508636101
337,0.672,0.0409677182523217,0.0955639395636245
338,0.674,0.043310651202077,0.0870327125550968
339,0.676,0.043752842428683,0.0836168568430388
340,0.678,0.0439162214079434,0.0805176883756075
341,0.68,0.0427025971703823,0.0815160979674416
342,0.682,0.0409999772597187,0.0825264452510114
343,0.684,0.0640173957552527,0.0511836954722116
344,0.686,0.091779020622034,0.0354287636391854
345,0.688,0.0999355356179431,0.0321879092389242
346,0.69,0.0996149306967561,0.0325891303682003
347,0.692,0.0974514234485837,0.0329951897269274
348,0.694,0.099085289868085,0.0324076646476901
349,0.696,0.0973631298177628,0.0328117229747432
350,0.698,0.0968049801184171,0.0332206492668546
351,0.7,0.0954307333029184,0.0336344957223481
352,0.702,0.0943013503245177,0.0340533149486386
353,0.704,0.0963543382148704,0.0328391555058147
354,0.706,0.104797345460847,0.0302133314462541
355,0.708,0.102704792356277,0.0305918937542532
356,0.71,0.10143144700853,0.030975051434426
357,0.712,0.100835682371916,0.0313628547043958
358,0.714,0.100739942620722,0.0317553542033538
359,0.716,0.0996359090991754,0.0321526009929508
360,0.718,0.0982872183282947,0.0325546465581215
361,0.72,0.0960334742783411,0.0329615428078468
362,0.722,0.0947795041475003,0.0333733420758611
363,0.724,0.0928713327570217,0.0337900971212889
364,0.726,0.0921997963768903,0.03421186112921
365,0.728,0.0905891147795353,0.0346386877111687
366,0.73,0.0895545174572063,0.0350706309055995
367,0.732,0.0877973427319708,0.0355077451782085
368,0.734,0.0870108658071944,0.0359500854222373
369,0.736,0.0860663430989101,0.0363977069587021
370,0.738,0.0852469532271135,0.0368506655365227
371,0.74,0.0832801118386055,0.0373090173325899
372,0.742,0.0823181002178483,0.037772818951751
373,0.744,0.0806264402276199,0.0382421274267115
374,0.746,0.0798984918666423,0.0387170002178596
375,0.748,0.0783564282801867,0.0391974952130052
376,0.75,0.0776193447436531,0.0396836707270295
377,0.752,0.0762901707878216,0.0401755855014532
378,0.754,0.0753547515329789,0.0406732987039162
379,0.756,0.0735547973453629,0.041176869927558
380,0.758,0.0719494520243081,0.0416863591903202
381,0.76,0.100972848123575,0.0292240096266223
382,0.762,0.0998706672520179,0.0295862923792277
383,0.764,0.116528996428755,0.0250092035382071
384,0.766,0.116374798780717,0.0253242883171017
385,0.768,0.11453421477795,0.0256432097739701
386,0.77,0.115431767330919,0.0259660106227408
387,0.772,0.114111502857357,0.0262927339734762
388,0.774,0.114969294830452,0.0266234233346712
389,0.776,0.1134499974847,0.0269581226155429
390,0.778,0.114395476448212,0.0272968761283114
391,0.78,0.113279414568126,0.0276397285904647
392,0.782,0.114108686936688,0.027986725127019
393,0.784,0.112673515218698,0.0283379112727609
394,0.786,0.113419500437985,0.0286933329744834
395,0.788,0.112044108925734,0.0290530365932023
396,0.79,0.112493397815551,0.029417068906365
397,0.792,0.111113120092365,0.0297854771100415
398,0.794,0.111638795513545,0.0301583088210992
399,0.796,0.110323862133998,0.0305356120793716
400,0.798,0.110856514442351,0.0309174353497992
401,0.8,0.109632430476777,0.0313038275245665
