index,t,objective,peak
1,0,0.308297278208935,0.510827471746798
2,0.005,0.305567494574314,0.514329963041852
3,0.01,0.304646377743833,0.517852497441992
4,0.015,0.301653909211562,0.521395154469099
5,0.02,0.300935796640331,0.524958247099635
6,0.025,0.297187163764513,0.528540741149027
7,0.03,0.295087725365044,0.532142467106431
8,0.035,0.297708687551895,0.520301920903462
9,0.04,0.308131330247645,0.502254994309393
10,0.045,0.302594710491967,0.505921630483557
11,0.05,0.300327976608033,0.509609208846332
12,0.055,0.294857028756816,0.513317303633875
13,0.06,0.294019153195733,0.517046583437496
14,0.065,0.289200987219709,0.520796220976876
15,0.07,0.289085581715947,0.52456641310468
16,0.075,0.284145328064765,0.528356404263566
17,0.08,0.283680384823974,0.532165882848094
18,0.085,0.278565607973845,0.535994986627586
19,0.09,0.276633465801693,0.539842486054058
20,0.095,0.271216698148527,0.543708966584376
21,0.1,0.269254545819499,0.547593899475431
22,0.105,0.26535197833908,0.551497930046611
23,0.11,0.264632220734375,0.555420677728652
24,0.115,0.261403219731598,0.559361751684503
25,0.12,0.261141249599018,0.563320989458972
26,0.125,0.257463430867983,0.567297848669232
27,0.13,0.255061995388512,0.57129105595042
28,0.135,0.249580050212052,0.575300675026366
29,0.14,0.296722886258244,0.481910754026172
30,0.145,0.292352796540884,0.485568566369897
31,0.15,0.292097332790907,0.489245667907069
32,0.155,0.288547288711689,0.492941046881296
33,0.16,0.287677911645602,0.496653842888091
34,0.165,0.284692951096364,0.500384602502982
35,0.17,0.284623370878392,0.504133216483442
36,0.175,0.281892379078913,0.507899330281839
37,0.18,0.281269399249857,0.511682302069239
38,0.185,0.277665242484899,0.515481847927216
39,0.19,0.276241681172623,0.519297635125796
40,0.195,0.272526969776625,0.523130012045342
41,0.2,0.269741726632467,0.526977842389433
42,0.205,0.266063129624756,0.530841603965211
43,0.21,0.263811908162334,0.534721282726624
44,0.215,0.259207540335142,0.53861606440163
45,0.22,0.282420284670737,0.49171872312837
46,0.225,0.279187397814386,0.495385979685942
47,0.23,0.274967269574818,0.499067995968154
48,0.235,0.270765484295703,0.502764654209646
49,0.24,0.334310797019287,0.40394309296361
50,0.245,0.331275087473432,0.407131022563982
51,0.25,0.328967054811093,0.410334785074997
52,0.255,0.326893445928032,0.413553811137492
53,0.26,0.324157223344792,0.416787565783825
54,0.265,0.322443570405964,0.420036175130306
55,0.27,0.320992609775531,0.423299895254178
56,0.275,0.319772532440875,0.426578454074388
57,0.28,0.317386273129782,0.429871019637872
58,0.285,0.315581875446968,0.433177748567939
59,0.29,0.312119657965954,0.436498336408043
60,0.295,0.308113514943839,0.439832160344547
61,0.3,0.352957794276444,0.381464617171761
62,0.305,0.349435489007675,0.384493504103523
63,0.31,0.345442802010726,0.387536389119122
64,0.315,0.341148107921002,0.390592655845147
65,0.32,0.3371045908098,0.393662348979091
66,0.325,0.334023363228536,0.39674563694181
67,0.33,0.330664829730479,0.399842240287889
68,0.335,0.32782365564965,0.402952042148149
69,0.34,0.323633266404146,0.406074660113435
70,0.345,0.37650849480153,0.347448867627025
71,0.35,0.377112903504309,0.345840146561974
72,0.355,0.3732142554322,0.348638197477982
73,0.36,0.370217507665735,0.351449407480429
74,0.365,0.366672143377677,0.354273456839362
75,0.37,0.364391997321425,0.357110373734665
76,0.375,0.361822555647173,0.35996017866381
77,0.38,0.359901130011328,0.362822585860196
78,0.385,0.357840332888212,0.365697690921792
79,0.39,0.355276622607692,0.368585054430878
80,0.395,0.351924856677564,0.371484445047242
81,0.4,0.348164158286086,0.374395714186936
82,0.405,0.344183702634615,0.377318858061182
83,0.41,0.369828945457248,0.349539492175285
84,0.415,0.366226617092088,0.352596414383976
85,0.42,0.36175767257628,0.355670112775124
86,0.425,0.360067427378446,0.358761015822773
87,0.43,0.356910458346239,0.361868851938387
88,0.435,0.356607849985953,0.364993848031854
89,0.44,0.354083378596222,0.368135679424539
90,0.445,0.354521895634193,0.371294532087967
91,0.45,0.352281727527907,0.374470278066239
92,0.455,0.352107097995439,0.377662341179203
93,0.46,0.349495115102867,0.380870819376059
94,0.465,0.349371236791991,0.384095633638617
95,0.47,0.347504774069174,0.38733722794155
96,0.475,0.346995945700358,0.390594831716785
97,0.48,0.344893184050896,0.39386851637085
98,0.485,0.344337115864114,0.397158380435485
99,0.49,0.340965994865787,0.40046375541384
100,0.495,0.339482905154809,0.403784522655906
101,0.5,0.337160207133709,0.407121403432948
102,0.505,0.335291150025629,0.410473501278773
103,0.51,0.333392104576695,0.413841305194495
104,0.515,0.331181187837129,0.417224210583894
105,0.52,0.329520025295373,0.420622493674556
106,0.525,0.327114321194559,0.424035746173355
107,0.53,0.325771968992624,0.427464086381349
108,0.535,0.323790542275332,0.430907506040681
109,0.54,0.321905617128467,0.434365579026263
110,0.545,0.318800488061347,0.43783794799346
111,0.55,0.316549215930269,0.441324681092667
112,0.555,0.313857995902367,0.44482581221037
113,0.56,0.312295346490329,0.4483413471104
114,0.565,0.30985071612694,0.451871079481573
115,0.57,0.30805599969651,0.455414729472875
116,0.575,0.30552253717718,0.458972235363468
117,0.58,0.303606874311425,0.462543477963231
118,0.585,0.300903555403526,0.466128141934706
119,0.59,0.300370078367442,0.469726723852605
120,0.595,0.298939649355438,0.47333932989465
121,0.6,0.298286761243994,0.476965161726943
122,0.605,0.296840468151568,0.480604409034438
123,0.61,0.29554032860277,0.484256588381769
124,0.615,0.293031625555534,0.487921354473273
125,0.62,0.291226637246841,0.491598720212878
126,0.625,0.28885465585343,0.495288694224352
127,0.63,0.287382115758142,0.498991237359581
128,0.635,0.28482704385713,0.502706071101384
129,0.64,0.282789056977866,0.506432807901492
130,0.645,0.280382142370199,0.510171707338382
131,0.65,0.277642910809981,0.51392214699341
132,0.655,0.274795768241988,0.517684196409766
133,0.66,0.271076222586787,0.521457418059585
134,0.665,0.267501813862256,0.525241653044074
135,0.67,0.263884648384984,0.529037018423539
136,0.675,0.259733889390828,0.532843079502568
137,0.68,0.255493769178226,0.536659648143822
138,0.685,0.25118971002964,0.540486668529091
139,0.69,0.246715327532573,0.544323921682555
140,0.695,0.247872324083771,0.535452820829324
141,0.7,0.287569516068422,0.456836716586353
142,0.705,0.306120260930048,0.426103138688918
143,0.71,0.302056491334281,0.429193150883656
144,0.715,0.297583499418847,0.432292463977043
145,0.72,0.315890582391183,0.404123989255838
146,0.725,0.329472393048525,0.384939674416258
147,0.73,0.32501638659561,0.387742127223527
148,0.735,0.3469182971368,0.361221632615157
149,0.74,0.344140044744338,0.363877965251638
150,0.745,0.341602486730348,0.366543445646794
151,0.75,0.339116601095565,0.369217763211055
152,0.755,0.335763129119848,0.371900807853367
153,0.76,0.341169924290599,0.363177656591517
154,0.765,0.350354642560596,0.352312473995572
155,0.77,0.345926718544995,0.354884647524095
156,0.775,0.342928918827215,0.357465410377573
157,0.78,0.33795899006494,0.360054475874904
158,0.785,0.353171125361593,0.343475617188056
159,0.79,0.349291995460133,0.346192288596206
160,0.795,0.346203201903776,0.3489209522414
161,0.8,0.342266621613607,0.351661420921858
162,0.805,0.339583823530942,0.354413818250067
163,0.81,0.335005723565344,0.357177851512446
164,0.815,0.331955397139674,0.359953484073648
165,0.82,0.327946903663021,0.362740849006729
166,0.825,0.32486834169277,0.365539719910111
167,0.83,0.321478289892173,0.368350179872964
168,0.835,0.319307616039539,0.371172293262783
169,0.84,0.316139385302642,0.374005811413095
170,0.845,0.315038936542211,0.37685099906356
171,0.85,0.31223832466535,0.379707630146235
172,0.855,0.311200410558414,0.382575680800585
173,0.86,0.308207514278688,0.38545495840812
174,0.865,0.30757304861921,0.388345643834039
175,0.87,0.304180118305457,0.391247457115164
176,0.875,0.302926936194372,0.394160213942906
177,0.88,0.299983004751873,0.397084175724558
178,0.885,0.298399192691342,0.40001901884337
179,0.89,0.295096998835328,0.402964709027231
180,0.895,0.293230584141814,0.405921161793381
181,0.9,0.289684912686173,0.408888298721222
182,0.905,0.287721238311264,0.41186604006492
183,0.91,0.284342856065132,0.41485442446836
184,0.915,0.282061083965694,0.417853182382644
185,0.92,0.279235349398062,0.420862487192793
186,0.925,0.277648020171181,0.423882257000482
187,0.93,0.275601309999594,0.426912632254535
188,0.935,0.273427751895093,0.429953155542741
189,0.94,0.270993590907592,0.433003771010301
190,0.945,0.269458320848633,0.436064731705499
191,0.95,0.266747621729339,0.439135687263272
192,0.955,0.264826834938323,0.442216524276644
193,0.96,0.26231215171265,0.445307361328468
194,0.965,0.259681625664952,0.448407901631069
195,0.97,0.255794391934812,0.451517809567362
196,0.975,0.253178315676966,0.454637271309219
197,0.98,0.249736881747588,0.457766305282833
198,0.985,0.24654758560677,0.460904605601769
199,0.99,0.242447189326066,0.464051992996929
200,0.995,0.239860866057347,0.467208685688839
201,1,0.236034566609136,0.470374474496575
202,1.005,0.233779600334316,0.473549353117449
203,1.01,0.229815330016946,0.476733212649383
204,1.015,0.226497806949765,0.47992561551472
205,1.02,0.22273208786848,0.483126869186989
206,1.025,0.218596599578592,0.48633651632398
207,1.03,0.214595916211884,0.489554586019758
208,1.035,0.210917998435011,0.492781137241658
209,1.04,0.206574697995778,0.496015929143576
210,1.045,0.269444325165513,0.374868578579376
211,1.05,0.435028464755475,0.230889770753124
